"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"FUSE";"FUSE";"F1";"FUSE";"";"";"";"";
"1";"";"PINHD-1X06_2.00";"1X06M";"JP1";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";"";"";"";
"3";"";"SJ";"SJ";"SJ1, SJ2, SJ3";"SMD solder JUMPER";"";"";"";"";
"3";"100nF";"C-EUC0402";"C0402";"C2, C6, C8";"CAPACITOR, European symbol";"";"";"";"";
"2";"100uF";"CPOL-USSMCC";"SMC_C";"C1, C7";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"4";"10K";"R-EU_R0402";"R0402";"R2, R3, R4, R5";"RESISTOR, European symbol";"";"";"";"";
"4";"10uF";"C-EUC0805";"C0805";"C3, C4, C5, C9";"CAPACITOR, European symbol";"";"";"";"";
"3";"1503_02";"1503_02";"1503_02";"X1, X2, X3";"Jack connectors according to JISC 6560, 3.5 mm";"";"";"1216979";"unknown";
"3";"18R";"R-EU_0204/7";"0204/7";"R13, R22, R27";"RESISTOR, European symbol";"";"";"";"";
"3";"18R";"R-EU_R1206";"R1206";"R12, R21, R26";"RESISTOR, European symbol";"";"";"";"";
"7";"1K";"R-EU_R0402";"R0402";"R15, R17, R18, R23, R28, R29, R30";"RESISTOR, European symbol";"";"";"";"";
"2";"210K";"R-EU_R1206";"R1206";"R31, R32";"RESISTOR, European symbol";"";"";"";"";
"10";"470K";"R-EU_R0402";"R0402";"R1, R6, R8, R9, R10, R11, R19, R20, R24, R25";"RESISTOR, European symbol";"";"";"";"";
"1";"DF13-3P-1.25H";"DF13-3P-1.25H";"DF13A-3P-1.25H";"U$2";"DF13-3P";"Hirose";"DF13-3P-1.25H";"";"";
"1";"ESP12EPADS_SMD";"ESP12EPADS_SMD";"ESP12E_SMD";"U1";"";"";"";"";"";
"1";"KSR221GKSS221G_PACKAGE";"KSR221GKSS221G_PACKAGE";"SMD1";"U$4";"";"C&K Components";"KSR221G LFS";"1201421";"";
"1";"MAX11609";"MAX11609";"QSOP16";"IC2";"2.7V to 5.5V, Low-Power, 4-/12-Channel 2-Wire Serial 8-Bit ADCs";"";"";"";"";
"1";"MCP1501";"MCP1501";"SOT23-6";"U$1";"";"";"";"";"";
"1";"MCP73811";"MCP73811";"SOT23-5L";"U$3";"";"";"";"";"";
"1";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X4";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";
"1";"PSU_VTX";"PSU_VTX";"PSU_VTX";"U$5";"";"";"";"";"";
"2";"Por definir";"R-EU_R0402";"R0402";"R7, R14";"RESISTOR, European symbol";"";"";"";"";
"1";"STLQ015_SOT23-5L";"STLQ015_SOT23-5L";"SOT23-5L";"IC1";"ST => STLQ015XG33R";"";"";"";"";
"1";"TRAFO_AISLAMIENTOBOURNS_SM-LP-5001";"TRAFO_AISLAMIENTOBOURNS_SM-LP-5001";"SM-LP-5001";"U$6";"";"";"";"";"";
"1";"TRAFO_AISLAMIENTOETAL_P3191";"TRAFO_AISLAMIENTOETAL_P3191";"P3191";"U$7";"";"";"";"";"";
"1";"USBMICRO_USB_CONEXCON";"USBMICRO_USB_CONEXCON";"MICROUSB_CONEXCON_5632";"U$10";"Conexcon => 5632-16052E";"Conexcon";"5632-16052E";"";"";
